name,whi,bla,his,asi,oth
ABBONDANDOLO,0.8823529411764706,0.029411764705882353,0.05042016806722689,0,0.037815126050420166
ABBONDANTE,1,0,0,0,0
ABBONDANZA,1,0,0,0,0
ABBONDANZIO,1,0,0,0,0
ABBONDOLO,1,0,0,0,0
ABBONDONDOLO,1,0,0,0,0
ABBONIZIO,1,0,0,0,0
ABBOOD,1,0,0,0,0
ABBOSH,0.7586206896551724,0,0.2413793103448276,0,0
ABBOT,0.8783783783783784,0.09121621621621621,0.006756756756756757,0.02364864864864865,0
ABBOTT,0.8946240655206895,0.07785343555068806,0.014023141755154516,0.0039521927527260605,0.009547164420741869
ABBOTTS,0.9763313609467456,0.023668639053254437,0,0,0
ABBOU,0.3958333333333333,0.2708333333333333,0,0,0.3333333333333333
ABBOUD,0.7748161764705882,0.02022058823529412,0.07352941176470588,0.008272058823529412,0.12316176470588236
ABBOUSHI,0.9666666666666667,0,0,0,0.03333333333333333
ABBRECHT,1,0,0,0,0
ABBRIANO,0.88,0,0,0,0.12
ABBRING,1,0,0,0,0
ABBRUSCATO,0.9420289855072463,0,0.007246376811594203,0.050724637681159424,0
ABBRUZESE,1,0,0,0,0
ABBRUZZESE,0.9597197898423818,0,0.03677758318739054,0,0.0035026269702276708
ABBRUZZI,1,0,0,0,0
ABBRUZZINO,1,0,0,0,0
ABBRUZZO,1,0,0,0,0
ABBS,0.9109311740890689,0.03643724696356275,0.05263157894736842,0,0
ABBUD,0.631578947368421,0,0.24561403508771928,0,0.12280701754385964
ABBUEHL,0.8484848484848485,0.15151515151515152,0,0,0
ABBUHL,0.9777070063694268,0.022292993630573247,0,0,0
ABBY,0.5,0.5,0,0,0
ABBYAD,1,0,0,0,0
ABCUG,1,0,0,0,0
ABD,0.8947368421052632,0,0,0.05263157894736842,0.05263157894736842
ABDA,0.64,0.28,0,0,0.08
ABDALA,0.1553398058252427,0.021844660194174758,0.7669902912621359,0,0.055825242718446605
ABDALAH,0.12745098039215685,0,0.7450980392156863,0,0.12745098039215685
ABDALAQUIL,0,0.48148148148148145,0,0,0.5185185185185185
ABDALE,0.8955223880597015,0,0,0,0.1044776119402985
ABDALIAN,0.8923076923076924,0,0,0,0.1076923076923077
ABDALLA,0.5331905781584583,0.26659528907922914,0.022483940042826552,0.013383297644539615,0.16434689507494646
ABDALLAH,0.49793174767321613,0.1297828335056877,0.10289555325749741,0.01499482936918304,0.2543950361944157
ABDALRAHMAN,0.1388888888888889,0.8611111111111112,0,0,0
ABDAN,0.5333333333333333,0,0.4666666666666667,0,0
ABDE,0.8727272727272727,0,0,0,0.12727272727272726
ABDEEN,0.5340909090909091,0.22727272727272727,0,0.10227272727272728,0.13636363636363635
ABDEHOU,1,0,0,0,0
ABDEIN,0.7222222222222222,0,0,0,0.2777777777777778
ABDEL,0.5,0.018518518518518517,0.35185185185185186,0.08641975308641975,0.043209876543209874
ABDELAAL,0.45962732919254656,0.12422360248447205,0.043478260869565216,0.012422360248447204,0.36024844720496896
ABDELAHAD,1,0,0,0,0
ABDELAL,0.6086956521739131,0.06521739130434782,0,0,0.32608695652173914
ABDELALIM,0.41025641025641024,0.5384615384615384,0,0,0.05128205128205128
ABDELALL,0.5,0,0,0,0.5
ABDELATIF,0.5135135135135135,0.1891891891891892,0,0,0.2972972972972973
ABDELATY,1,0,0,0,0
ABDELAZIM,0.13333333333333333,0.36666666666666664,0,0,0.5
ABDELAZIZ,0.5389876880984952,0.058823529411764705,0.049247606019151846,0.0533515731874145,0.29958960328317374
ABDELBAKY,0.7021276595744681,0.14893617021276595,0,0,0.14893617021276595
ABDELBARY,0.5681818181818182,0,0.3181818181818182,0,0.11363636363636363
ABDELDAYEM,0.8,0,0,0,0.2
ABDELFATAH,0.2631578947368421,0.21052631578947367,0,0,0.5263157894736842
ABDELFATTAH,0.5527777777777778,0.03611111111111111,0.07777777777777778,0.019444444444444445,0.3138888888888889
ABDELGADIR,0,0.8111111111111111,0,0,0.18888888888888888
ABDELGAWAD,0.6557377049180327,0,0,0,0.3442622950819672
ABDELGHANI,0.5476190476190477,0,0.004761904761904762,0,0.44761904761904764
ABDELGHANY,0.6794871794871795,0.07692307692307693,0.0641025641025641,0,0.1794871794871795
ABDELGUERFI,0.75,0,0,0,0.25
ABDELHACK,0.825,0,0,0,0.175
ABDELHADI,0.6931818181818182,0.07386363636363637,0.011363636363636364,0.045454545454545456,0.17613636363636365
ABDELHADY,0.7457627118644068,0,0.11864406779661017,0,0.13559322033898305
ABDELHAFEZ,0.9555555555555556,0,0,0,0.044444444444444446
ABDELHAFIZ,0,0.8461538461538461,0,0,0.15384615384615385
ABDELHAI,0.358974358974359,0.3076923076923077,0,0,0.3333333333333333
ABDELHALIM,0.5345911949685535,0.07547169811320754,0,0,0.389937106918239
ABDELHAMED,0,0.825,0,0.125,0.05
ABDELHAMEED,0.6857142857142857,0.07142857142857142,0,0,0.24285714285714285
