name,whi,bla,his,asi,oth
JOHNNI,0.6401273885350318,0.25477707006369427,0.10509554140127389,0,0
JOHNNIA,0.2911392405063291,0.7088607594936709,0,0,0
JOHNNICA,0,0.9583333333333334,0,0,0.041666666666666664
JOHNNICE,0,1,0,0,0
JOHNNIE,0.3919001763701699,0.594405198675809,0.005234515736557669,0.0011506503060541183,0.007309458911409358
JOHNNIECE,0.21212121212121213,0.7878787878787878,0,0,0
JOHNNIELEE,0,1,0,0,0
JOHNNIELYNN,0.8214285714285714,0,0,0,0.17857142857142858
JOHNNIEM,0.047619047619047616,0.9523809523809523,0,0,0
JOHNNIEMAE,0.07953063885267275,0.9204693611473272,0,0,0
JOHNNIER,0.02040816326530612,0.14285714285714285,0.8367346938775511,0,0
JOHNNIERUTH,0.1590909090909091,0.8409090909090909,0,0,0
JOHNNIESHA,0,1,0,0,0
JOHNNIESUE,1,0,0,0,0
JOHNNIFER,0,1,0,0,0
JOHNNIKA,0,1,0,0,0
JOHNNIQUE,0,1,0,0,0
JOHNNIS,0.5384615384615384,0.46153846153846156,0,0,0
JOHNNISE,0,0.9759036144578314,0,0,0.024096385542168676
JOHNNISHA,0,1,0,0,0
JOHNNITA,0.09821428571428571,0.9017857142857143,0,0,0
JOHNNY,0.5564831836508476,0.3765753740110613,0.0459039299946528,0.012052660132938344,0.008984852210500022
JOHNNYE,0.36012861736334406,0.617363344051447,0.011254019292604502,0,0.011254019292604502
JOHNNYLEE,0.225130890052356,0.7382198952879581,0,0,0.03664921465968586
JOHNNYRAY,0.7127659574468085,0.22340425531914893,0,0,0.06382978723404255
JOHNNYWAYNE,0.72,0.28,0,0,0
JOHNOLA,0,0.875,0.125,0,0
JOHNOLIVER,0.4358974358974359,0.1794871794871795,0.20512820512820512,0.1794871794871795,0
JOHNOTHAN,0.7777777777777778,0.2222222222222222,0,0,0
JOHNOVAN,0,0.868421052631579,0.10526315789473684,0,0.02631578947368421
JOHNPALMER,1,0,0,0,0
JOHNPATRICK,0.6814159292035398,0.09292035398230089,0.030973451327433628,0.18584070796460178,0.008849557522123894
JOHNPAUL,0.6230045026606631,0.07613589848546869,0.19607040523945968,0.0659025787965616,0.03888661481784691
JOHNPETER,0.5056179775280899,0.3595505617977528,0.07865168539325842,0.056179775280898875,0
JOHNPHILIP,1,0,0,0,0
JOHNPHILLIP,0.6233766233766234,0.2857142857142857,0,0.09090909090909091,0
JOHNPIERRE,0.3191489361702128,0.23404255319148937,0.14893617021276595,0.14893617021276595,0.14893617021276595
JOHNQUAVIOUS,0,1,0,0,0
JOHNQUEL,0,1,0,0,0
JOHNQUELL,0,1,0,0,0
JOHNQUEZ,0,0.9318181818181818,0,0,0.06818181818181818
JOHNQUIL,0,1,0,0,0
JOHNR,1,0,0,0,0
JOHNRANDALL,1,0,0,0,0
JOHNRAY,0.625,0.125,0.125,0,0.125
JOHNRAYMOND,0.5833333333333334,0,0.19444444444444445,0.2222222222222222,0
JOHNRICHARD,0.8411214953271028,0.09345794392523364,0,0,0.06542056074766354
JOHNROBERT,0.7430555555555556,0.14930555555555555,0.03125,0.024305555555555556,0.052083333333333336
JOHNROSS,0.8275862068965517,0.1724137931034483,0,0,0
JOHNROY,1,0,0,0,0
JOHNRYAN,0.75,0,0,0.25,0
JOHNS,0.6987951807228916,0.1686746987951807,0.04216867469879518,0.04216867469879518,0.04819277108433735
JOHNSCOTT,1,0,0,0,0
JOHNSEY,0.42857142857142855,0.5714285714285714,0,0,0
JOHNSIE,0.5701160541586073,0.42021276595744683,0.0033849129593810446,0,0.006286266924564797
JOHNSON,0.2843999182171335,0.5178900020445717,0.0265794316090779,0.13105704354937642,0.04007360457984052
JOHNSTEPHEN,0.8947368421052632,0.07017543859649122,0,0.03508771929824561,0
JOHNSTEVEN,0.7941176470588235,0,0,0,0.20588235294117646
JOHNSTON,0.6526806526806527,0.331002331002331,0.016317016317016316,0,0
